"Font Awesomeness Settings","Font Awesomeness Settings"
"Settings","Settings"
"Use CDN","Use CDN"
"Uses the Content Delivery Network","Uses the Content Delivery Network"
"Use local","Use local"
"Local","Local"
"Uses the local skin folder for serving the files","Uses the local skin folder for serving the files"
"Enable","Enable"
"Load by","Load by"
"Version","Version"
"Minified","Minified"
"Locally included Font sets","Locally included Font sets"
"The following iconic font sets are included within font awesomeness and their CSS can be merged","The following iconic font sets are included within font awesomeness and their CSS can be merged"
"Select icon sets","Select icon sets"
"Custom fontsets","Custom fontsets"
"Add links to additional font sets","Add links to additional font sets"
"Comma separated for multiple classes","Comma separated for multiple classes"
"Icon","Icon"
"Size","Size"
"Fixed","Fixed"
"Animate spin","Animate spin"
"Flip / Rotate","Flip / Rotate"
"Custom classes","Custom classes"
"Default","Default"
"Large","Large"
"None","None"
"Included Fonts:","Included Fonts:"